window_frequency
0.511
0.506
0.529
0.507
0.514
0.518
0.496
0.479
0.464
0.48
0.48
0.539
0.489
0.516
0.482
0.482
0.515
0.525
0.521
0.497
0.512
0.499
0.473
0.516
0.52
0.496
0.496
0.501
0.523
0.463
0.486
0.534
0.503
0.48
0.51
0.509
0.49
0.485
0.523
0.489
0.496
0.506
0.505
0.513
0.489
0.51
0.505
0.487
0.499
0.497
0.538
0.503
0.498
0.476
0.467
0.488
0.512
0.492
0.507
0.515
0.523
0.524
0.507
0.483
0.511
0.503
0.491
0.506
0.514
0.501
0.51
0.499
0.495
0.522
0.491
0.491
0.517
0.488
0.522
0.486
0.49
0.526
0.515
0.493
0.506
0.53
0.527
0.481
0.525
0.505
0.497
0.475
0.51
0.513
0.516
0.518
0.482
0.511
0.498
0.497
0.479
0.497
0.504
0.499
0.511
0.505
0.496
0.523
0.514
0.483
0.503
0.513
0.512
0.498
0.498
0.513
0.5
0.502
0.486
0.492
0.503
0.483
0.503
0.501
0.516
0.51
0.497
0.483
0.506
0.5
0.51
0.502
0.48
0.512
0.497
0.507
0.509
0.496
0.506
0.53
0.525
0.51
0.544
0.505
0.513
0.499
0.522
0.493
0.47
0.512
0.479
0.495
0.496
0.504
0.487
0.483
0.498
0.525
0.488
0.521
0.485
0.532
0.521
0.491
0.489
0.487
0.489
0.5
0.492
0.504
0.508
0.494
0.508
0.504
0.494
0.52
0.513
0.5
0.501
0.489
0.501
0.516
0.53
0.499
0.492
0.508
0.5
0.517
0.507
0.479
0.51
0.497
0.503
0.545
0.513
0.512
0.517
0.504
0.487
0.516
0.526
0.482
0.504
0.488
0.5
0.518
0.507
0.523
0.495
0.503
0.493
0.489
0.502
0.501
0.547
0.484
0.503
0.508
0.52
0.491
0.48
0.532
0.525
0.499
0.494
0.502
0.501
0.475
0.492
0.505
0.492
0.493
0.5
0.514
0.487
0.503
0.505
0.516
0.496
0.493
0.523
0.481
0.5
0.486
0.483
0.497
0.519
0.485
0.508
0.502
0.528
0.518
0.507
0.519
0.506
0.499
0.51
0.508
0.478
0.501
0.502
0.49
0.485
0.513
0.499
0.51
0.47
0.521
0.516
0.491
0.49
0.489
0.485
0.496
0.515
0.528
0.506
0.479
0.514
0.517
0.497
0.514
0.495
0.51
0.522
0.51
0.479
0.501
0.524
0.494
0.492
0.505
0.509
0.482
0.502
0.526
0.498
0.48
0.518
0.502
0.49
0.497
0.506
0.495
0.48
0.496
0.515
0.521
0.494
0.517
0.508
0.489
0.499
0.493
0.514
0.505
0.491
0.493
0.483
0.488
0.51
0.518
0.51
0.495
0.492
0.506
0.493
0.488
0.508
0.511
0.49
0.476
0.504
0.495
0.494
0.471
0.515
0.48
0.485
0.519
0.497
0.486
0.499
0.502
0.494
0.49
0.513
0.504
0.49
0.505
0.507
0.514
0.489
0.489
0.457
0.513
0.494
0.471
0.506
0.492
0.513
0.52
0.53
0.539
0.493
0.505
0.5
0.518
0.484
0.507
0.49
0.493
0.505
0.486
0.495
0.502
0.509
0.527
0.508
0.518
0.52
0.469
0.486
0.525
0.493
0.506
0.517
0.517
0.515
0.501
0.499
0.505
0.523
0.487
0.522
0.486
0.506
0.492
0.497
0.492
0.487
0.52
0.507
0.497
0.502
0.469
0.479
0.504
0.51
0.492
0.514
0.485
0.5
0.483
0.498
0.502
0.496
0.522
0.522
0.491
0.505
0.499
0.493
0.509
0.506
0.487
0.506
0.485
0.482
0.503
0.504
0.501
0.485
0.48
0.514
0.478
0.498
0.503
0.497
0.51
0.487
0.522
0.502
0.504
0.502
0.49
0.486
0.502
0.497
0.515
0.509
0.518
0.47
0.493
0.486
0.481
0.492
0.493
0.492
0.466
0.491
0.503
0.501
0.499
0.476
0.508
0.483
0.479
0.528
0.471
0.53
0.485
0.514
0.495
0.504
0.514
0.486
0.494
0.536
0.513
0.487
0.509
0.481
0.516
0.519
0.481
0.509
0.499
0.509
0.502
0.513
0.516
0.504
0.482
0.485
0.497
0.497
0.516
0.482
0.491
0.5
0.534
0.494
0.487
0.506
0.492
0.498
0.525
0.483
0.521
0.502
0.493
0.48
0.523
0.521
0.497
0.499
0.494
0.503
0.499
0.53
0.49
0.5
0.473
0.512
0.468
0.518
0.487
0.538
0.502
0.492
0.508
0.504
0.507
0.488
0.532
0.517
0.496
0.512
0.5
0.518
0.491
0.517
0.471
0.504
0.53
0.481
0.5
0.527
0.49
0.505
0.506
