avalanche_percent
50.5
49.96
49.01
50.74
49.97
50.48
50.52
49.73
50.26
49.78
48.77
49.61
49.66
50.51
49.52
50.6
49.39
49.28
50.94
49.37
49.88
49.86
50.46
50.25
50.4
48.97
49.36
49.74
50.61
50.46
51.03
50.3
50.39
49.58
49.67
49.72
49.09
49.82
50.25
50.15
49.13
48.74
49.79
49.85
50.33
50.61
49.55
49.65
50.8
50.89
50.18
48.73
50.29
50.75
50.5
49.86
49.09
49.52
49.54
50.47
49.95
50.03
49.79
51.16
50.24
50.01
49.06
49.26
50.21
49.83
50.2
49.52
49.51
50.4
50.29
49.94
50.01
50.13
50.14
49.85
49.71
49.82
50.38
50.34
50.65
50.14
50.05
50.04
49.73
49.92
49.32
49.83
50.25
49.33
49.79
50.5
50.14
49.5
49.12
50.32
