avalanche_percent
50.2
49.26
50.28
49.73
50.27
49.59
49.8
50.5
49.98
50.47
49.81
49.95
49.03
50.13
50.83
50.41
49.79
50.97
49.46
50.21
49.74
48.91
50.68
49.3
50.7
49.72
51.09
49.68
50.09
48.78
50.13
49.9
50.08
49.86
50.11
50.94
50.45
50.11
49.83
49.94
49.9
49.27
50.35
50.09
51.19
50.15
50.16
50.35
49.49
50.04
49.93
50.16
49.56
49.08
50.17
49.29
50.64
50.2
49.62
49.43
50.22
50.16
50.6
50.38
50.12
49.17
49.31
50.48
49.96
50.58
50.71
50.33
50.16
49.9
49.91
50.25
50.27
49.61
49.81
50.09
50.14
49.78
49.93
50.42
50.25
49.97
50.19
50.6
50.1
49.92
50.76
50.56
49.49
48.86
50.73
50.02
50.02
50.36
49.98
49.4
